Domain Code;Area Code;Element Code;Item Code;Year Code;Unit;Value;Flag
QC;2;5312;156;1961;ha;1800;F
QC;2;5312;156;1962;ha;1800;F
QC;2;5312;156;1963;ha;1800;F
QC;2;5312;156;1964;ha;1800;F
QC;2;5312;156;1965;ha;2000;F
QC;2;5312;156;1966;ha;2000;
QC;2;5312;156;1967;ha;2000;
QC;2;5312;156;1968;ha;2000;
QC;2;5312;156;1969;ha;2500;
QC;2;5312;156;1970;ha;2500;
QC;2;5312;156;1971;ha;2500;
QC;2;5312;156;1972;ha;2000;F
QC;2;5312;156;1973;ha;4000;
QC;2;5312;156;1974;ha;4000;
QC;2;5312;156;1975;ha;4000;
QC;2;5312;156;1976;ha;3500;
QC;2;5312;156;1977;ha;4000;
QC;2;5312;156;1978;ha;4000;
QC;2;5312;156;1979;ha;3700;
QC;2;5312;156;1980;ha;3700;
QC;2;5312;156;1981;ha;3700;
QC;2;5312;156;1982;ha;3300;*
QC;2;5312;156;1983;ha;3200;*
QC;2;5312;156;1984;ha;3100;*
QC;2;5312;156;1985;ha;3000;*
QC;2;5312;156;1986;ha;3000;*
QC;2;5312;156;1987;ha;3000;F
QC;2;5312;156;1988;ha;3000;*
QC;2;5312;156;1989;ha;3000;*
QC;2;5312;156;1990;ha;2900;
QC;2;5312;156;1991;ha;2000;
QC;2;5312;156;1992;ha;2000;F
QC;2;5312;156;1993;ha;2000;F
QC;2;5312;156;1994;ha;2000;F
QC;2;5312;156;1995;ha;2000;F
QC;2;5312;156;1996;ha;2000;F
QC;2;5312;156;1997;ha;2000;F
QC;2;5312;156;1998;ha;2000;F
QC;2;5312;156;1999;ha;2000;F
QC;2;5312;156;2000;ha;2000;F
QC;2;5312;156;2001;ha;2000;F
QC;2;5312;156;2002;ha;2000;F
QC;2;5312;156;2003;ha;3300;
QC;2;5312;156;2004;ha;3000;
QC;2;5312;156;2005;ha;2000;
QC;2;5312;156;2006;ha;3700;
QC;2;5312;156;2007;ha;3700;
QC;2;5312;156;2008;ha;3000;F
QC;2;5312;156;2009;ha;3080;
QC;2;5312;156;2010;ha;3100;
QC;2;5312;156;2011;ha;3082;
QC;2;5312;156;2012;ha;3100;
QC;2;5312;156;2013;ha;3210;
QC;2;5312;156;2014;ha;3210;
QC;2;5312;156;2015;ha;3210;
QC;2;5312;156;2016;ha;1333;
QC;2;5312;156;2017;ha;1145;
QC;2;5312;156;2018;ha;1766;
QC;2;5312;156;2019;ha;1653;
QC;2;5419;156;1961;hg/ha;250000;Fc
QC;2;5419;156;1962;hg/ha;250000;Fc
QC;2;5419;156;1963;hg/ha;250000;Fc
QC;2;5419;156;1964;hg/ha;250000;Fc
QC;2;5419;156;1965;hg/ha;255000;Fc
QC;2;5419;156;1966;hg/ha;255000;Fc
QC;2;5419;156;1967;hg/ha;285000;Fc
QC;2;5419;156;1968;hg/ha;285000;Fc
QC;2;5419;156;1969;hg/ha;240000;Fc
QC;2;5419;156;1970;hg/ha;220000;Fc
QC;2;5419;156;1971;hg/ha;200000;Fc
QC;2;5419;156;1972;hg/ha;175000;Fc
QC;2;5419;156;1973;hg/ha;145000;Fc
QC;2;5419;156;1974;hg/ha;129000;Fc
QC;2;5419;156;1975;hg/ha;150000;Fc
QC;2;5419;156;1976;hg/ha;194571;Fc
QC;2;5419;156;1977;hg/ha;160000;Fc
QC;2;5419;156;1978;hg/ha;160000;Fc
QC;2;5419;156;1979;hg/ha;172973;Fc
QC;2;5419;156;1980;hg/ha;189189;Fc
QC;2;5419;156;1981;hg/ha;189189;Fc
QC;2;5419;156;1982;hg/ha;190909;Fc
QC;2;5419;156;1983;hg/ha;193750;Fc
QC;2;5419;156;1984;hg/ha;193548;Fc
QC;2;5419;156;1985;hg/ha;193333;Fc
QC;2;5419;156;1986;hg/ha;200000;Fc
QC;2;5419;156;1987;hg/ha;200000;Fc
QC;2;5419;156;1988;hg/ha;206667;Fc
QC;2;5419;156;1989;hg/ha;200000;Fc
QC;2;5419;156;1990;hg/ha;189655;Fc
QC;2;5419;156;1991;hg/ha;190000;Fc
QC;2;5419;156;1992;hg/ha;190000;Fc
QC;2;5419;156;1993;hg/ha;190000;Fc
QC;2;5419;156;1994;hg/ha;190000;Fc
QC;2;5419;156;1995;hg/ha;190000;Fc
QC;2;5419;156;1996;hg/ha;190000;Fc
QC;2;5419;156;1997;hg/ha;190000;Fc
QC;2;5419;156;1998;hg/ha;190000;Fc
QC;2;5419;156;1999;hg/ha;190000;Fc
QC;2;5419;156;2000;hg/ha;190000;Fc
QC;2;5419;156;2001;hg/ha;190000;Fc
QC;2;5419;156;2002;hg/ha;190000;Fc
QC;2;5419;156;2003;hg/ha;181818;Fc
QC;2;5419;156;2004;hg/ha;200000;Fc
QC;2;5419;156;2005;hg/ha;190000;Fc
QC;2;5419;156;2006;hg/ha;189189;Fc
QC;2;5419;156;2007;hg/ha;200000;Fc
QC;2;5419;156;2008;hg/ha;209867;Fc
QC;2;5419;156;2009;hg/ha;400000;Fc
QC;2;5419;156;2010;hg/ha;298065;Fc
QC;2;5419;156;2011;hg/ha;300000;Fc
QC;2;5419;156;2012;hg/ha;250000;Fc
QC;2;5419;156;2013;hg/ha;280000;Fc
QC;2;5419;156;2014;hg/ha;233900;Fc
QC;2;5419;156;2015;hg/ha;144717;Fc
QC;2;5419;156;2016;hg/ha;130263;Fc
QC;2;5419;156;2017;hg/ha;294541;Fc
QC;2;5419;156;2018;hg/ha;143947;Fc
QC;2;5419;156;2019;hg/ha;221041;Fc
QC;2;5510;156;1961;tonnes;45000;
QC;2;5510;156;1962;tonnes;45000;
QC;2;5510;156;1963;tonnes;45000;
QC;2;5510;156;1964;tonnes;45000;
QC;2;5510;156;1965;tonnes;51000;
